name,affiliation,departments,email,website,interests,title,year,venue,coauthor_1
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Trusting virtual agents: The effect of personality,2019,"ACM Transactions on Interactive Intelligent Systems (TiiS) 9 (2-3), 1-36, 2019",Pierangelo De Pace
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Makers' marks: Physical markup for designing and fabricating functional objects,2015,"Proceedings of the 28th Annual ACM Symposium on User Interface Software …, 2015",Ellie Anderson
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Confiding in and listening to virtual agents: The effect of personality,2017,"Proceedings of the 22nd international conference on intelligent user …, 2017",
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Beyond the artifact: power as a lens for creativity support tools,2023,"Proceedings of the 36th Annual ACM Symposium on User Interface Software and …, 2023",
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,What we can learn from visual artists about software development,2021,"Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems …, 2021",Michael Diercks
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Editing spatial layouts through tactile templates for people with visual impairments,2019,"Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems …, 2019",
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Supporting visual artists in programming through direct inspection and control of program execution,2020,"Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems …, 2020",Eric Grosfils
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Understanding Version Control as Material Interaction with Quickpose,2023,"Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems …, 2023",
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Direct and immediate drawing with CNC machines,2017,"Proceedings of the 1st annual ACM symposium on computational fabrication, 1-2, 2017",
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Reimagining misuse as creative practice: Impressions and implications of usage norms on digital artists,2025,"Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems …, 2025",
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Automated accessory rigs for layered 2D character illustrations,2021,"The 34th Annual ACM Symposium on User Interface Software and Technology …, 2021",
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Toward appropriating tools for queer use,2024,"Proceedings of the Halfway to the Future Symposium, 1-4, 2024",
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Dynamic Abstractions: Building the Next Generation of Cognitive Tools and Interfaces,2024,"Adjunct Proceedings of the 37th Annual ACM Symposium on User Interface …, 2024",
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,"Computational Scaffolding of Composition, Value, and Color for Disciplined Drawing",2025,"Proceedings of the 38th Annual ACM Symposium on User Interface Software and …, 2025",Michael (Mik) Zlatin
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,"Expanding Norms, Negotiating Bodies: How Artists with Disabilities Perceive and Use Creative Tools",2025,"Proceedings of the 27th International ACM SIGACCESS Conference on Computers …, 2025",Eric Grosfils
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Laser cut layered gels for lighting design,2020,"Extended Abstracts of the 2020 CHI Conference on Human Factors in Computing …, 2020",Edward (E.J.) Crane III
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Rethinking Power Dynamics in Software Tools for Artists,2023,"Stanford University, 2023",
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,TacDes: Design Interface toward Ubiquitous Tactile Sensing,2025,"Proceedings of the Extended Abstracts of the CHI Conference on Human Factors …, 2025",
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Extending Computational Abstractions with Manual Craft for Visual Art Tools,2022,"Adjunct Proceedings of the 35th Annual ACM Symposium on User Interface …, 2022",
Jingyi Li,"Assistant Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://jingyi.me/,human-computer interaction,Summer School for Computational Fabrication and Smart Matter,2017,"IEEE Pervasive Computing 16 (4), 50-53, 2017",Kim Bruce
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Sarcasm detection on facebook: A supervised learning approach,2018,"Proceedings of the 20th international conference on multimodal interaction …, 2018",Erin Runions
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Sarcasm detection on flickr using a cnn,2018,"Proceedings of the 2018 international conference on computing and big data …, 2018",
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Evolutionary design and experimental validation of a flexible caudal fin for robotic fish,2012,"Artificial life conference proceedings, 325-332, 2012",
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Evolutionary multiobjective design of a flexible caudal fin for robotic fish,2015,"Bioinspiration & biomimetics 10 (6), 065006, 2015",Kim Bruce
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Evolution of station keeping as a response to flows in an aquatic robot,2013,"Proceedings of the 15th annual conference on Genetic and evolutionary …, 2013",
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Evolving controllers for a transformable wheel mobile robot,2018,"Complexity 2018 (1), 7692042, 2018",Pardis Mahdavi
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Construct of Sarcasm on social media platform,2019,"2019 IEEE international conference on humanized computing and communication …, 2019",Alexandra Papoutsaki
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Evo-ROS: integrating evolution and the robot operating system,2018,"Proceedings of the Genetic and Evolutionary Computation Conference Companion …, 2018",Franklin Marsh
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Satire vs fake news: You can tell by the way they say it,2019,"2019 First International Conference on​ Transdisciplinary AI (TransAI), 22-26, 2019",Ellie Anderson
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,An evolutionary approach to discovering execution mode boundaries for adaptive controllers,2016,"2016 IEEE Symposium Series on Computational Intelligence (SSCI), 1-8, 2016",
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Enhancing a model-free adaptive controller through evolutionary computation,2015,"Proceedings of the 2015 Annual Conference on Genetic and Evolutionary …, 2015",
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Balancing performance and efficiency in a robotic fish with evolutionary multiobjective optimization,2014,"2014 IEEE International Conference on Evolvable Systems, 227-234, 2014",Eric Hurley
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Evolutionary robotics on the Web with WebGL and Javascript,2014,"arXiv preprint arXiv:1406.3337, 2014",Char Miller
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Comparing CNN inputs for terrain classification using simulation,2019,"2019 First International Conference on​ Transdisciplinary AI (TransAI), 43-47, 2019",
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Evolutionary optimization of robotic fish control and morphology,2013,"Proceedings of the 15th annual conference companion on Genetic and …, 2013",
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Evolving adabot: A mobile robot with adjustable wheel extensions,2017,"2017 IEEE Symposium Series on Computational Intelligence (SSCI), 1-8, 2017",
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Effect of animat complexity on the evolution of hierarchical control,2017,"Proceedings of the Genetic and Evolutionary Computation Conference, 147-154, 2017",
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,An ensemble of face recognition algorithms for unsupervised expansion of training data,2018,"2018 International Conference on Computational Science and Computational …, 2018",Char Miller
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Hold the Spot: Evolution of Generalized Station Keeping for an Aquatic Robot,2014,"Proceedings of the Fourteenth International Conference on the Synthesis and …, 2014",
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Just keep swimming: Accounting for uncertainty in self-modeling aquatic robots,2013,"Proceedings of the 6th International Workshop on Evolutionary and …, 2013",
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Bend and flex: Passive flexibility or active control in a quadruped animat,2018,"Proceedings of the Genetic and Evolutionary Computation Conference Companion …, 2018",
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,On-board evolution of a model-free adaptive controller for a robotic fish,2014,"Proceedings of Evolution of Physical Systems Workshop, held in conjunction …, 2014",Feng Xiao
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,MorphWorld: A State Transition Simulator,2020,"Artificial Life Conference Proceedings 32, 747-749, 2020",
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Short Paper: Understanding the Attention Model of Humans in Sarcastic Videos,2019,"2019 First International Conference on​ Transdisciplinary AI (TransAI), 84-87, 2019",
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Improve Quadrupedal Locomotion with Actuated or Passive Joints?,2019,"Artificial Life Conference Proceedings, 559-566, 2019",
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,a web-based simulation viewer for sharing evolutionary robotics results,2018,"Proceedings of the Genetic and Evolutionary Computation Conference Companion …, 2018",Shahriar Shahriari
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Research Article Evolving Controllers for a Transformable Wheel Mobile Robot,2018,,G. Gabrielle Starr
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Automatically addressing uncertainty in autonomous robots with computational evolution,2016,"Michigan State University, 2016",Michael (Mik) Zlatin
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,BIBLIOGRAPHY TO PART II,1981,"Journal of Zoology 194 (1), 53-66, 1981",Samuel Thomas
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Understanding the Attention Model of Humans in Sarcastic Videos,0,,Edward (E.J.) Crane III
Anthony J. Clark,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,http://anthonyjclark.com/,robotics;autonomous system;evolutionary robotics;simulation;deep learning,Sarcasm on Social Media,0,,Jingyi Li
Michael (Mik) Zlatin,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,https://mzlatin.github.io/,Combinatorial Optimization,On packing dijoins in digraphs and weighted digraphs,2023,"SIAM Journal on Discrete Mathematics 37 (4), 2417-2461, 2023",Eric Hurley
Michael (Mik) Zlatin,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,https://mzlatin.github.io/,Combinatorial Optimization,Approximation Algorithms for Steiner Tree Augmentation Problems,2023,"Proceedings of the 2023 Annual ACM-SIAM Symposium on Discrete Algorithms …, 2023",Michael Diercks
Michael (Mik) Zlatin,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,https://mzlatin.github.io/,Combinatorial Optimization,The Online Submodular Assignment Problem,2024,"2024 IEEE 65th Annual Symposium on Foundations of Computer Science (FOCS …, 2024",
Michael (Mik) Zlatin,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,https://mzlatin.github.io/,Combinatorial Optimization,Unique rectification in -complete posets: towards the -theory of Kac-Moody flag varieties,2018,"arXiv preprint arXiv:1805.02287, 2018",
Michael (Mik) Zlatin,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,https://mzlatin.github.io/,Combinatorial Optimization,On small-depth tree augmentations,2022,"Operations Research Letters 50 (6), 667-673, 2022",Samuel Thomas
Michael (Mik) Zlatin,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,https://mzlatin.github.io/,Combinatorial Optimization,New and improved approximation algorithms for Steiner Tree Augmentation Problems,2022,"arXiv preprint arXiv:2207.07983, 2022",Jane Liu
Michael (Mik) Zlatin,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,https://mzlatin.github.io/,Combinatorial Optimization,Approximation Algorithms for Steiner Connectivity Augmentation,2024,"32nd Annual European Symposium on Algorithms (ESA 2024), 67: 1-67: 16, 2024",
Michael (Mik) Zlatin,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,https://mzlatin.github.io/,Combinatorial Optimization,Approximation Algorithms for Matroid-Intersection Coloring with Applications to Rota's Basis Conjecture,2026,"arXiv preprint arXiv:2604.03735, 2026",
Michael (Mik) Zlatin,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,https://mzlatin.github.io/,Combinatorial Optimization,A Better-Than-2 Approximation for the Directed Tree Augmentation Problem,2026,"Proceedings of the 2026 Annual ACM-SIAM Symposium on Discrete Algorithms …, 2026",
Michael (Mik) Zlatin,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,https://mzlatin.github.io/,Combinatorial Optimization,Efficiently Coloring the Intersection of a General Matroid and Partition Matroids,2025,"arXiv preprint arXiv:2508.19473, 2025",Colin J. Beck
Michael (Mik) Zlatin,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,https://mzlatin.github.io/,Combinatorial Optimization,Polyhedral and Algorithmic Methods in Network Connectivity,2024,"Carnegie Mellon University, 2024",Charles J Taylor
Michael (Mik) Zlatin,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,https://mzlatin.github.io/,Combinatorial Optimization,Online Matroid Intersection: Submodular Water-Filling and Matroidal Welfare Maximization,2024,"arXiv preprint arXiv:2401.06981, 2024",Jane Liu
Michael (Mik) Zlatin,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,https://mzlatin.github.io/,Combinatorial Optimization,Improved Approximation Algorithms for Steiner Connectivity Augmentation Problems,2023,"arXiv preprint arXiv:2308.08690, 2023",
Michael (Mik) Zlatin,"Assistant Professor, Pomona College",Computer Science,@pomona.edu,https://mzlatin.github.io/,Combinatorial Optimization,Unique rectification in d-complete posets,2020,"Séminaire lotharingien de combinatoire 82, 2020",Daniel J. O'Leary
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Modeling word burstiness using the Dirichlet distribution,2005,"Proceedings of the 22nd international conference on Machine learning, 545-552, 2005",Pardis Mahdavi
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Simple English Wikipedia: a new text simplification task,2011,"Proceedings of the 49th Annual Meeting of the Association for Computational …, 2011",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Paraphrasing for automatic evaluation,2006,"Proceedings of the human language technology conference of the NAACL, main …, 2006",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Improving Text Simplification Language Modeling Using Unsimplified Text Data.,2013,"ACL, 1537-1546, 2013",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Learning a lexical simplifier using wikipedia,2014,"Proceedings of the 52nd Annual Meeting of the Association for Computational …, 2014",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Learning to simplify sentences using wikipedia,2011,"Proceedings of the workshop on monolingual text-to-text generation, 1-9, 2011",Charles J Taylor
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,"User evaluation of the effects of a text simplification algorithm using term familiarity on perception, understanding, learning, and information retention",2013,"Journal of medical Internet research 15 (7), e2569, 2013",Benjamin M. Rosenberg
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,The effect of word familiarity on actual and perceived text difficulty,2014,"Journal of the American Medical Informatics Association 21 (e1), e169-e172, 2014",Nicholas D. Ball
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Flesch-kincaid is not a text simplification evaluation metric,2021,"Proceedings of the 1st Workshop on Natural Language Generation, Evaluation …, 2021",Andre RO Cavalcanti
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,A user-study measuring the effects of lexical simplification and coherence enhancement on perceived and actual text difficulty,2013,"International journal of medical informatics 82 (8), 717-730, 2013",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Improving perceived and actual text difficulty for health information consumers using semi-automated methods,2012,"AMIA Annual Symposium Proceedings 2012, 522, 2012",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,AutoMeTS: The autocomplete for medical text simplification,2020,"Proceedings of the 28th International Conference on Computational …, 2020",Pardis Mahdavi
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Sentence simplification as tree transduction,2013,"Proceedings of the second workshop on predicting and improving text …, 2013",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Text simplification tools: Using machine learning to discover features that identify difficult text,2014,"2014 47th Hawaii international conference on system sciences, 2616-2625, 2014",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Moving beyond readability metrics for health-related text simplification,2016,"IT professional 18 (3), 45-51, 2016",Eleanor Birrell
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,"NegAIT: A new parser for medical text simplification using morphological, sentential and double negation",2017,"Journal of biomedical informatics 69, 55-62, 2017",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Improving consumer understanding of medical text: development and validation of a new subsimplify algorithm to automatically generate term explanations in English and Spanish,2018,"Journal of medical Internet research 20 (8), e10779, 2018",Ellie Anderson
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Feature-based segmentation of narrative documents,2005,"Proceedings of the ACL Workshop on Feature Engineering for Machine Learning …, 2005",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Measuring text difficulty using parse‐tree frequency,2017,"Journal of the Association for Information Science and Technology 68 (9 …, 2017",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Using lexical chains to identify text difficulty: a corpus statistics and classification study,2018,"IEEE journal of biomedical and health informatics 23 (5), 2164-2173, 2018",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Effects on text simplification: Evaluation of splitting up noun phrases,2016,"Journal of health communication 21 (sup1), 18-26, 2016",G. Gabrielle Starr
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Sources of success for boosted wrapper induction,2004,"Journal of Machine Learning Research 5 (May), 499-527, 2004",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Evaluation of an online text simplification editor using manual and automated metrics for perceived and actual text difficulty,2022,"JAMIA open 5 (2), ooac044, 2022",Franklin Marsh
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Human evaluation for text simplification: The simplicityadequacy tradeoff,2018,"SoCal NLP Symposium, 2018",Cynthia Selassie
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Sources of success for information extraction methods,2002,,
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,A comparison of text versus audio for information comprehension with future uses for smart speakers,2019,"JAMIA open 2 (2), 254-260, 2019",Pierangelo De Pace
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Pomona at semeval-2016 task 11: Predicting word complexity based on corpus frequency,2016,"Proceedings of the 10th International Workshop on Semantic Evaluation …, 2016",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Dynamic game difficulty balancing for backgammon,2011,"Proceedings of the 49th annual ACM Southeast Conference, 295-299, 2011",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,A Web-Based Medical Text Simplification Tool.,2020,"HICSS, 1-9, 2020",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Improving human text simplification with sentence fusion,2021,"Proceedings of the Fifteenth Workshop on Graph-Based Methods for Natural …, 2021",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Predicting transition words between sentence for English and Spanish medical text,2020,"AMIA Annual Symposium Proceedings 2019, 523, 2020",Tom Le
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,A year of papers using biomedical texts: findings from the section on natural language processing of the IMIA yearbook,2019,"Yearbook of medical informatics 28 (01), 218-222, 2019",Heidi Nichols Haddad
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,When synonyms are not enough: optimal parenthetical insertion for text simplification,2018,"AMIA Annual Symposium Proceedings 2017, 810, 2018",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Contributions to research on machine translation,2006,"University of California, San Diego, 2006",Andre RO Cavalcanti
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Learning rules to improve a machine translation system,2003,"European Conference on Machine Learning, 205-216, 2003",Kim Bruce
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Text and audio simplification: human vs. ChatGPT,2024,"AMIA Summits on Translational Science Proceedings 2024, 295, 2024",G. Gabrielle Starr
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,"The role of surface, semantic and grammatical features on simplification of Spanish medical texts: A user study",2018,"AMIA Annual Symposium Proceedings 2017, 1322, 2018",Dwight Whitaker
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,Effects of added emphasis and pause in audio delivery of health information,2024,"AMIA Summits on Translational Science Proceedings 2024, 54, 2024",
David Kauchak,"Professor of Computer Science, Pomona College",Computer Science,@pomona.edu,http://www.cs.pomona.edu/~dkauchak/,natural language processing;machine learning;text simplification,An iterative improvement procedure for hierarchical clustering,2003,"Advances in Neural Information Processing Systems 16, 2003",
