name,affiliation,departments,email,website,interests,title,year,venue
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,On Mathematical Ways of Knowing,2019,"arXiv preprint arXiv:1904.07968, 2019"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,"Introducing MAA Notes #88: Shifting Contexts, Stable Core: Advancing Quantitative Literacy in Higher Education",2019,"Numeracy 12 (2), 13, 2019"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Collaboration and Creativity in Southern Califonia: An Offering,2016,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Math education: A messy problem,2016,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Book Review: Encyclopedia of Mathematics and Society,2013,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Ramanujan sums as supercharacters (preliminary version),2012,"arXiv preprint arXiv:1201.1060, 2012"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,What Does It Take to Teach Nonmajors Effectively?,2012,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,"Supercharacters, symmetric functions in noncommuting variables",2011,"Discrete Mathematics & Theoretical Computer Science, 2011"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Envisioning a quantitative studies center: A liberal arts perspective,2010,"Numeracy 3 (1), 4, 2010"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,A different pencil too good to be ignored? A first look at Wolfram- Alpha,2009,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Around the World in Eighty Games By Marcus du Sautoy,2025,"The Mathematical Intelligencer, 1-3, 2025"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,The Ruby Cube,2025,"Math Horizons 33 (1), 25-25, 2025"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,On a “grouplike” family of quasigroups,2025,"Examples and Counterexamples, 100200, 2025"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,What Can Mathematics Do For Us?,2025,"Journal of Humanistic Mathematics 15 (2), 1-3, 2025"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Through Writing,2024,"Women in MathArt: Research, Creativity, and Teaching 34, 97, 2024"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,The Making of a Mathematician: Personal and Professional Growth Through Writing,2024,"Women in MathArt: Research, Creativity, and Teaching, 97-124, 2024"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Picturing Mathematics (Education) in New Ways,2024,"Journal of Humanistic Mathematics 14 (2), 1-3, 2024"
